questionType,logs
Replay,"site web de France.tv via navigateur chrome ,replay laetitia.je suis sur un ordi avec windows xp."
S'abonner ou se désabonner à nos newsletters,Je suis inscrit plusieurs fois mais ça marche pas sur votre site il y a un problème
Comment proposer un sujet ?,comment proposer un programme ?
Thalassa,"Bonjour je souhaiterais savoir s'il est possible d'obtenir ou de visualiser l'émission Thalassa intitulé Couleurs Brésil"" est fut diffusé en 02/2014 ?"""
Replay,Je n'arrive pas à regarder le replay d'amour gloire ré beauté d'hier la vidéo ne se télécharge pas
J'habite à l'étranger,comment regarder un programme si je vis à l'etranger
Comment contacter le service client ?,comment envoyer par email à la chaine un dossier de presse sur la naissance d'un nouveau festival?
Comment contacter un animateur ?,Peut-on contacter Carole Gaessler pour discuter de son parcours de journaliste ?
Comment contacter le service client ?,Le dysfonctionnement qui touche certains téléspectateurs a-t-il un rapport avec la fin de la prise en charge de Flash ?
Mon compte france.tv,la réactivation du mot de passe ne marche pas
Replay,Puis-je donc à nouveau rechercher l'émission sur le replay dès maintnant ?
Comment contacter le service client ?,"bonjour, je voulais avertir votre rédaction d'une marche que nous organisons"
Replay,"bonjour, je cherche un reportage diffusé par France 5 en novembre 2011 qui se nomme Le président, la crise et moi Chronqiue d'un quinquennat.Pouvez vous m'aider à le retrouver pour le revoir svp"
Replay,"je recherche le replay du documentaire Algérie, mon amour"
Comment contacter le service client ?,"De fausses publicités circulent en toute impunité sur le fil d'actualité Facebook . Trotinettes à 1.99 euro , climatiseurs à 1.99 euro ...etc ... faites quelquechose"
Replay,comment puis je débloqué le visonnage des vidéos ???
J'habite à l'étranger,Pourquoi ne puis je pas regarder les émissions en Replay depuis la suisse?
Quel est le programme TV ?,Programme TV?
Mon compte france.tv,"Bonjour je n'arrive pas à réinitialiser mon mot de passe. Quand je clique sur le lien envoyé par mail, je retombe sur une case où on le demande mon adresse mail et ainsi de"
Mon compte france.tv,Je n'arrive pas à créer de nouveau compte
J'aimerai poser une question autour du coronavirus,"onjour, pourquoi ne fait-on pas de comparaison pour une même période de 2019 voir 2018?un journal l'a fait pour mars c'est dommage que personne d'autre le fasse!"
Replay,non de l'application France.tv
J'aimerai poser une question autour du coronavirus,je voudrais poser une question concernant le coronavirus au médecin qui intervient après le journal télévisé deF2
Comment contacter le service client ?,Peut on mettre un lien sur son sitre vers vos infomations?
Replay,"Il ne s agit pas de dysfonctionnement, le replay est en ligne pendant quelques jours seulement. Moi, je veux conserver/enregistrer des émissions restez en forme"" sur mon téléphone ou mon """
Comment contacter le service client ?,Pouvez vous m'aider svp ?
Les directs,J'aimerai voir France 3
S'abonner ou se désabonner à nos newsletters,Je ne veux plus rien recevoir
Les directs,je cherche la chaine qui diffuse le baskete feminin
Mon compte france.tv,J'ai vérifié et je n'ai reçu aucun mail pour changer mon mot de passe
Replay,voir cette emission
J'habite à l'étranger,"Bonjour,je vis au Brésil et j'aimeraris savoir comment accéder aux films ou bien, à quoi j'ai vraîment accès d'ici? Merci"
J'aimerai poser une question autour du coronavirus,Il faut vraiement trouver un vaccin contre le meddef et macron Oh c est pote à vous France 2 !? il faut que tous monde vivent surtout les riches 😂😂😂
Comment contacter le service client ?,Je recherche un reportage diffusé lors du JT de 20h il y a quelques années
Mon compte france.tv,Comment valider mon inscription ?
Mon compte france.tv,Bonjour je n'arrive pas à m'inscrire
Mon compte france.tv,modification mail
Tour de France 2021,Il n'a pas été précisé que EDDY MERCKS a été champion du monde amateur à SAllanches en 1964
Mon compte france.tv,je n'arive pas à me connecter
S'abonner ou se désabonner à nos newsletters,Desabonner de France infos
J'aimerai poser une question autour du coronavirus,Bvonjour je sais que vous travaillez beaucoup sur le covid je m appelle gregory Mercier j habite les haut de France en problème psychique depuis 6 ans j ai demandé au président de la république et a madame buzin le droit de
J'habite à l'étranger,Oui mais je ne peux pas les voir en replay sur mon ordinateur parce que je suis en Belgique...
Comment contacter le service client ?,". Bonjour, j'ai regardé l'émission 20h30 le samedi"" le 23 janvier. A lpartir de la 10ème minute du reportage"
J'aimerai poser une question autour du coronavirus,Puis je utiliser l'attestatiin de deplacement precedente
Mon compte france.tv,"je n'ai pas perdu mon mot de passe, le site ne veut plus se connecter"
Comment proposer un sujet ?,je recherc un mail de contact pour envoyer un sujet de reportage à l'équipe de télématin ?
Comment contacter le service client ?,je vous sollicite car j'ai une demande particulière
Comment proposer un sujet ?,"Bonjour, \nComment envoyer un mail aux différentes rédactions pour proposer un sujet ?"
J'aimerai poser une question autour du coronavirus,Poser une question par SMS
Replay,Pourrais-je savoir quad est ce que la saison 12 de Ninjago sera diffusée
Comment proposer un sujet ?,"bonjour, je suis daltonien je voudrais soumettre une proposition a Nagui"
Comment activer les sous-titres ?,"Bonjour. Depuis le weekend dernier, tous les soustitres de France5 ont disparu. Selon mon fournisseur de cable ( VOO) , le problème serait chez vous. Qu'en est-il ?"
Comment contacter le service client ?,je voudrais joindre le standard de run1ere réunion
Mon compte france.tv,je l'ai fait plusieur fois je ne reçois pas le mail
Comment contacter le service client ?,Est ce qu'on conseiller de France 3 peut me joindre
Replay,"Bonjour, le replay de l'émission Piéces à conviction du 10 juin consacré au Monacogate n'est pas dispo alors que tous les autres le sont. Faut-il y voir un acte de censure . Bizarre non ????"
Comment contacter le service client ?,"bonjour, ma compagne est complètement fan de l'emission une saison au zoo"". Pour noël"
Replay,la vidéo ne démarre pas
Replay,Le replay ne fonctionne pas
J'habite à l'étranger,"je voudrai voir un match du tournoi en replay mais il est refusé ,on me localise au royome uni alors que je suis en france.que doit-ont faire ?"
Comment contacter le service client ?,"Bonjour, je souhaite vous transmettre un projet. Ainsi, je cherche un service et adresse mail pour vous transmettre celui ci."
S'abonner ou se désabonner à nos newsletters,comment ce desabonner de tout
Mon compte france.tv,connexion sécurisée
Comment contacter un animateur ?,"Bonjour, je suis journalist entranger en France, je besoin contacté M. Etienne (Question pour à champion) s'il vous plait. je besoin son contact, merci"
Quel est le programme TV ?,Quel est le programme à 14h
Mon compte france.tv,Sur la date de naissance?
Mon compte france.tv,comment revoir une émission sans m' inscrire sur France tv ?
Replay,"Bonsoir je regarde des videos sur la serie televisee skam"" mais ca continue de me donne l'erreur 4300 et je ne comprendes pas pourquoi et comment continuer a les voir . Merci"""
Quel est le programme TV ?,Programmes de l'apres midi?
Comment contacter le service client ?,adresse courrier relations téléspectateurs
Comment contacter le service client ?,"Bonsoir, je recherche désespérément le replay de l'émission au sujet la paralysie cérébrale, je ne trouve que des extraits"
Comment contacter le service client ?,Je n'ai plus les émissions en direct. Que faire ?
Quel est le programme TV ?,Qui Sont Les Programmes De France 3 En 2009
Les directs,Aucun direct ne fonctionne ce
Comment contacter le service client ?,Nous cherchons un contact par mail a france television pour informer sur l'urgence sanitaire dans les etablissements scolaires et la campagne de desinformation menée par le ministre
Comment proposer un sujet ?,"bonjour , je voulais simplement vous dire que julian bugier est extra en journaliste, une voix reposante et agréable à l'oreille, simple et aussi qui ne gâche rien pour rire, un bel homme, continuez comme cela , pas d'infos bling bling :)"
J'aimerai poser une question autour du coronavirus,J'ai posé une question je cherche la réponse
Comment contacter un animateur ?,contacter un journaliste
Quel est le programme TV ?,connaitre a l'avance la diffusion de carnet de vol sur france 3
Replay,imposible de regarder helvetca ep. 6 erreur 4103
Les directs,Voir le direct
Mon compte france.tv,pourquoi je peux pas regarder maintenant un replay de france 2 sans etre inscrit sur votre site alors qu avant oui
Comment contacter le service client ?,je recherche un reportage régional de ce jour sur un fabricant de blouse region paca je crois
Comment contacter un animateur ?,Je souhaite contacter un journaliste de la rédaction
Replay,comment voir un replay sur ma tv avec une connection internet
Comment contacter le service client ?,à quelle adresse puis-je l'envoyer
Comment contacter le service client ?,"Je souhaite contacter la production mais par téléphone, elle est injoignable. Que faire?"
Comment proposer un sujet ?,Comment vous contacter par Couriel
Comment installer Chromecast ?,Faire passer mon écran iPad sur mon téléviseur
Replay,Impossible de visionner vos émissions en direct sur mon ordinateur
Mon compte france.tv,Après avoir rempli toutes cases je n arrive pas à me
Replay,dci banks saison 4 dimanche 7 juin
J'aimerai poser une question autour du coronavirus,Les français qui se situe dans la fourchette de plus de 65 ans et moins de 75 ans on les oublie pour la vaccination ? Jacques Brunoy
J'aimerai poser une question autour du coronavirus,Bonsoir. Je souhaite savoir pourquoi les manifestations qui ont eu lieu samedi ont été autorisees alors que nous sommes en confinement. Dans ma ville plus de 2000 personnes en manif
Comment proposer un sujet ?,denoncer un abus concernant un bailleur social
S'abonner ou se désabonner à nos newsletters,Se désabonner
Comment contacter le service client ?,Qui sont les invités de la fête de la chanson française ?
Replay,Je ne peux plus regarder une émission en replay
S'abonner ou se désabonner à nos newsletters,"merci, c bon je suis désabonnée ??"
Mon compte france.tv,"bonjour, je me suis créé un compte mais jen'arrive pas à voir le documentaire Changer la vie"".."""
Mon compte france.tv,Informations personnelles changer d'adresse mail
Mon compte france.tv,je n'arrive pas a changer mon mot de passe
Comment contacter le service client ?,"Bonjour, je souhaite revoir l'émission de hier sur France 5 mon corps ce réseau social "" comment dois je mi prendre ? Cordialement"
Mon compte france.tv,Date de naissance dans l'inscription à un compte non valide
Replay,france 3 thrillers de l'été ; maman a tort que je regardais ce matin en replay mais a cette heure ci plus possible sur google chromeVersion 83.0.4103.97.
J'aimerai poser une question autour du coronavirus,QU'EN EST IL DU SCANDALE SANITAIRE DES EHPAD VA T'ON VERS DES PLAINTES EN JUSTICE POUR CETTE CATASTROPHE SANITAIRE ?
J'habite à l'étranger,Je voudrais bien pouvoir recevoir/visioner toutes les emissions en Allemagne comme en France. Cela ne doit pas être si difficile?!
Tour de France 2021,impossible d'avoir l'etape de mourenx pour le swiper tour
Mon compte france.tv,"Mot de passe impossible à connecter ! Expiration du mail trois minute. Mon mot de passe contient une majuscule, des minuscules et un point d'exclamation, il fait 9 caractères et est refusé. Je n'ai jamais pu me connecter sur France 2 !"
